epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,1508.83,4.69207,8.65494,3.77355,0,0,0,0,4.27237,7.63224,4.70223,2.3842e-05,2.3842e-05,2.3842e-05
47,1540.94,4.60295,8.42093,3.79473,0,0,0,0,4.19993,7.61751,4.47148,2.37496e-05,2.37496e-05,2.37496e-05
48,1572.8,4.47151,8.41238,3.79973,0,0,0,0,4.20196,7.6292,4.33308,2.36572e-05,2.36572e-05,2.36572e-05
49,1605.03,4.59101,8.3585,3.75893,0,0,0,0,4.18647,7.6306,4.2922,2.35648e-05,2.35648e-05,2.35648e-05
50,1636.86,4.46293,8.34569,3.7645,0,0,0,0,4.16916,7.60243,4.4514,2.34724e-05,2.34724e-05,2.34724e-05
51,1668.98,4.28679,8.32498,3.81488,0,0,0,0,4.33549,7.66307,4.69381,2.338e-05,2.338e-05,2.338e-05
52,1701.1,4.34799,8.88086,3.67863,0,0,0,0,4.28435,7.63122,4.64058,2.32876e-05,2.32876e-05,2.32876e-05
53,1733.58,4.43431,8.37641,3.75198,0,0,0,0,4.28589,7.65259,4.67965,2.31952e-05,2.31952e-05,2.31952e-05
54,1765.96,4.48409,8.40499,3.74014,0,0,0,0,4.22624,7.61434,4.43994,2.31028e-05,2.31028e-05,2.31028e-05
55,1798.21,4.3869,8.36075,3.76135,0,0,0,0,4.23312,7.6083,4.55105,2.30104e-05,2.30104e-05,2.30104e-05
56,1830.22,4.21645,8.18631,3.75562,0,0,0,0,4.21661,7.63217,4.45446,2.2918e-05,2.2918e-05,2.2918e-05
57,1862.58,4.40499,8.50185,3.69162,0,0,0,0,4.21548,7.60177,4.36112,2.28256e-05,2.28256e-05,2.28256e-05
58,1894.95,4.23436,8.29723,3.76292,0,0,0,0,4.26435,7.70547,4.6705,2.27332e-05,2.27332e-05,2.27332e-05
59,1927.57,4.27378,8.15044,3.70661,0,0,0,0,4.21181,7.59863,4.47754,2.26408e-05,2.26408e-05,2.26408e-05
60,1959.88,4.1559,8.41325,3.70462,0,0,0,0,4.1687,7.61561,4.65689,2.25484e-05,2.25484e-05,2.25484e-05
61,1991.19,3.9919,8.88892,3.63356,0,0,0,0,4.13545,7.58983,4.31324,2.2456e-05,2.2456e-05,2.2456e-05
62,2023.01,4.13877,8.17893,3.68278,0,0,0,0,4.14974,7.57853,4.34538,2.23636e-05,2.23636e-05,2.23636e-05
63,2055.32,4.24921,8.16424,3.65623,0,0,0,0,4.11026,7.5691,4.37745,2.22712e-05,2.22712e-05,2.22712e-05
64,2087.29,4.02843,8.41662,3.62571,0,0,0,0,4.12383,7.58589,4.4166,2.21788e-05,2.21788e-05,2.21788e-05
65,2118.96,4.07429,8.21207,3.70997,0,0,0,0,4.12844,7.58165,4.22392,2.20864e-05,2.20864e-05,2.20864e-05
66,2151.02,4.10777,8.33398,3.68925,0,0,0,0,4.11039,7.54537,4.29284,2.1994e-05,2.1994e-05,2.1994e-05
67,2183.17,4.13032,8.55449,3.62068,0,0,0,0,4.05795,7.56356,4.08978,2.19016e-05,2.19016e-05,2.19016e-05
68,2214.72,3.96102,8.72167,3.56407,0,0,0,0,4.10624,7.56355,4.3368,2.18092e-05,2.18092e-05,2.18092e-05
