epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,363.959,3.96232,7.83278,1.56167,3e-05,0.00016,1e-05,0,3.67241,6.22678,1.52092,2.39344e-05,2.39344e-05,2.39344e-05
46,371.066,3.8978,7.71636,1.50795,3e-05,0.00016,1e-05,0,3.67572,6.23065,1.52737,2.3842e-05,2.3842e-05,2.3842e-05
47,377.971,3.95871,7.76033,1.52583,3e-05,0.00016,1e-05,0,3.65589,6.22603,1.50877,2.37496e-05,2.37496e-05,2.37496e-05
48,385.094,3.85409,7.6772,1.53599,3e-05,0.00016,1e-05,0,3.63138,6.22973,1.50571,2.36572e-05,2.36572e-05,2.36572e-05
49,392.055,3.81191,7.64294,1.51609,3e-05,0.00016,1e-05,0,3.61824,6.22925,1.49702,2.35648e-05,2.35648e-05,2.35648e-05
50,399.503,3.94387,7.71906,1.50924,3e-05,0.00016,1e-05,0,3.62772,6.21001,1.50891,2.34724e-05,2.34724e-05,2.34724e-05
51,406.429,3.74628,8.01954,1.51367,3e-05,0.00016,1e-05,0,3.6089,6.20424,1.50039,2.338e-05,2.338e-05,2.338e-05
52,413.379,3.93593,7.72687,1.47795,3e-05,0.00016,1e-05,0,3.61353,6.20101,1.50776,2.32876e-05,2.32876e-05,2.32876e-05
53,420.789,3.87137,7.57704,1.46346,3e-05,0.00016,1e-05,0,3.75098,6.2224,1.59768,2.31952e-05,2.31952e-05,2.31952e-05
54,428.148,3.89468,7.5036,1.48124,3e-05,0.00016,1e-05,0,3.69986,6.212,1.56393,2.31028e-05,2.31028e-05,2.31028e-05
55,435.21,3.87864,7.77647,1.48498,3e-05,0.00016,1e-05,0,3.63376,6.20283,1.537,2.30104e-05,2.30104e-05,2.30104e-05
56,442.592,3.80949,7.74097,1.48566,1e-05,0.00018,1e-05,0,3.53248,6.18483,1.47096,2.2918e-05,2.2918e-05,2.2918e-05
